V1A	V1B	V1C	V2A	V2B	V2C	V2D	V2E	V2F	V3A	V3B	V3C	V4A	V4B	V4C	V4D	V4E	V5A	V5B	SEX	ALTER	HERKU	FB
2	5	3	5	5	5	5	5	5	4	4	5	3	2	2	5	5	3	4	1	20	2	2
2	4	4	2	3	5	5	5	5	2	3	5	3	2	4	5	5	1	3	1	23	2	2
2	4	2	5	4	5	4	5	5	3	2	4	2	1	2	3	4	4	4	1	21	1	2
1	4	4	5	5	5	5	5	5	2	2	5	3	2	5	5	5	3	4	1	24	2	2
2	5	3	5	3	5	5	5	5	3	2	5	4	3	3	5	5	4	4	1	25	2	2
2	3	2	5	5	5	5	5	5	3	2	5	3	3	3	5	5	4	4	1	26	2	2
1	3	2	5	5	5	5	4	5	3	2	5	2	2	2	5	4	4	4	1	24	2	2
2	3	4	5	5	5	5	5	5	4	2	5	3	2	2	5	5	3	5	1	24	2	2
2	4	3	5	5	5	5	5	5	4	1	5	2	4	5	5	5	4	3	1	25	2	2
2	4	4	3	5	5	5	5	5	3	1	5	3	3	5	5	5	4	5	1	22	3	3
2	4	4	5	5	5	5	5	5	4	2	5	4	4	5	5	5	4	5	1	21	2	3
3	4	4	5	5	5	5	5	5	3	3	5	1	3	5	5	5	5	5	1	21	2	3
2	4	4	5	5	5	5	5	5	3	3	5	5	5	5	5	5	3	4	1	20	2	3
4	5	5	5	5	5	5	5	5	5	4	5	4	3	5	5	5	5	5	1	20	2	3
3	5	4	4	5	5	5	5	5	4	3	5	3	3	5	5	4	5	5	1	21	2	3
3	5	4	5	5	5	5	5	5	4	3	5	3	4	4	5	5	4	5	1	21	2	3
2	3	4	4	2	5	5	2	5	3	2	5	2	3	2	4	3	3	5	1	21	2	3
3	5	4	5	5	5	5	5	5	4	2	5	3	3	3	5	5	3	5	1	23	2	3
2	5	3	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	1	21	2	3
2	5	3	5	4	5	5	5	5	3	2	5	3	2	3	5	4	3	5	1	21	2	3
2	5	3	5	5	5	5	3	5	3	2	5	4	4	5	5	5	5	5	1	22	2	3
2	5	3	5	5	5	5	5	5	3	1	5	5	5	5	5	5	2	5	1	20	1	3
2	4	4	5	5	5	5	5	5	3	2	5	5	5	5	5	5	4	5	1	24	2	3
2	4	4	4	5	5	5	5	5	4	1	5	2	3	3	5	4	4	5	1	22	2	3
2	5	4	5	5	5	5	5	5	4	2	5	3	3	5	5	5	4	5	1	36	2	3
2	4	4	3	5	5	5	5	5	3	2	5	5	2	5	5	5	5	5	1	20	2	3
2	4	4	4	5	5	5	5	5	5	2	5	2	4	5	5	5	5	5	1	20	2	3
4	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	1	21	2	3
1	4	2	4	5	5	5	3	5	4	2	4	2	2	3	3	3	4	5	1	22	2	3
2	4	4	5	5	5	5	5	5	3	2	5	3	2	4	5	4	5	5	1	20	1	3
2	5	3	5	5	5	5	5	5	5	2	5	3	3	5	5	5	4	4	1	24	2	3
3	4	4	5	5	5	5	5	5	5	3	5	5	5	5	5	5	4	5	1	22	2	3
3	5	5	5	5	5	5	5	5	5	3	5	2	2	5	5	5	5	5	1	22	2	3
1	3	5	5	5	5	5	5	5	5	1	5	5	3	5	5	5	5	5	1	21	2	3
1	4	3	5	3	5	5	3	4	1	1	4	2	2	4	5	3	3	5	1	25	2	3
2	5	4	5	5	5	5	5	5	3	2	5	4	2	5	5	5	5	5	1	27	3	3
4	5	5	5	5	5	5	5	5	5	4	5	3	2	5	5	5	5	5	1	29	2	3
3	4	4	4	5	5	5	5	5	3	2	5	3	3	5	5	5	5	5	1	26	2	3
1	4	5	5	5	5	5	5	5	5	2	5	5	3	5	5	5	4	5	1	21	2	3
3	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	4	5	1	26	2	3
3	5	5	5	5	5	5	5	5	4	3	5	5	4	5	5	5	5	5	1	27	2	3
1	4	3	5	5	5	5	5	5	4	2	5	4	3	5	5	5	4	4	1	22	2	3
2	5	3	5	5	5	5	5	5	4	2	5	2	2	5	5	5	5	5	1	25	2	4
1	3	4	3	3	4	5	5	5	2	1	3	3	2	3	5	5	4	5	1	27	2	4
2	4	3	5	5	5	5	5	5	5	2	5	4	4	5	5	5	5	5	1	21	2	4
2	4	2	4	5	5	5	5	5	3	2	5	4	4	4	5	5	5	5	1	20	2	4
2	4	4	5	5	5	5	5	5	2	2	5	2	4	5	5	4	5	5	1	21	2	4
3	5	4	5	5	5	5	5	5	5	3	5	5	4	5	5	5	4	5	1	19	2	4
2	5	4	5	5	5	3	5	5	4	2	5	5	3	5	5	5	3	4	1	19	1	4
2	5	4	2	3	5	5	5	5	2	1	5	5	5	5	5	5	5	5	1	23	2	4
4	4	3	5	5	5	5	5	5	4	3	5	5	5	5	5	5	5	5	1	31	2	4
3	5	5	5	5	5	5	5	5	5	2	5	3	4	5	5	5	5	5	1	25	2	4
2	4	4	5	5	5	5	5	5	4	2	5	5	5	5	5	5	5	5	1	25	1	4
3	5	4	5	5	5	5	5	5	5	3	5	3	3	5	5	5	5	5	1	22	2	4
3	5	4	5	5	5	5	5	5	4	2	5	3	2	5	5	5	4	5	1	22	2	4
3	4	5	5	5	5	5	5	5	4	3	5	3	4	5	5	5	5	5	1	24	2	4
1	5	2	5	5	5	5	5	5	5	1	5	4	4	5	5	5	5	4	1	26	2	4
3	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	4	5	1	24	2	4
1	3	3	4	5	5	5	5	5	3	1	5	3	2	5	5	5	5	5	1	24	2	4
2	5	5	5	5	5	5	5	5	3	2	5	2	3	5	5	2	2	4	1	23	2	4
3	5	5	5	5	5	5	5	5	5	3	5	3	3	5	5	5	4	5	1	23	2	4
2	5	4	5	5	5	5	5	5	3	2	5	4	4	5	5	4	4	5	1	21	2	1
3	5	4	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	4	1	25	2	4
3	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	1	32	2	4
3	5	4	4	5	5	5	5	5	4	3	5	5	3	5	5	5	5	5	1	20	2	5
4	5	5	5	5	5	5	5	5	4	3	5	5	5	5	5	5	4	5	1	41	2	5
3	5	5	5	5	5	5	5	5	5	3	5	2	5	5	5	5	5	5	1	20	1	5
2	3	4	3	5	5	5	3	5	3	2	4	2	2	3	5	3	4	5	1	23	2	5
2	3	4	5	5	4	5	5	5	4	2	5	4	4	5	5	5	5	5	1	25	2	5
4	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	1	22	2	5
3	5	5	5	5	5	5	5	5	5	3	5	3	3	5	5	5	4	5	1	22	2	5
2	4	5	4	4	5	5	5	5	4	4	5	5	5	5	5	5	5	5	1	25	2	5
2	4	4	4	5	5	5	5	5	4	2	5	2	3	4	5	4	4	5	1	25	2	5
2	5	5	5	5	5	5	5	5	3	3	5	3	3	5	5	5	5	5	1	24	2	5
3	4	5	4	4	5	5	5	5	5	3	5	4	5	5	5	5	5	5	1	25	2	5
1	5	5	5	5	5	5	5	5	4	2	5	1	1	1	5	5	5	5	1	27	2	5
2	5	5	5	5	5	5	5	5	4	2	5	3	4	5	5	5	4	5	1	23	2	6
4	5	4	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	1	19	2	6
1	4	3	3	2	4	5	5	5	2	3	5	5	5	5	5	5	3	4	1	19	2	6
2	5	5	4	5	5	5	5	5	3	4	5	5	5	5	5	5	4	5	1	20	2	6
2	5	5	5	5	5	5	5	5	3	3	5	5	5	5	5	5	4	5	1	28	2	6
2	5	5	5	5	5	5	5	5	4	3	5	4	4	5	5	5	4	5	1	27	2	6
2	5	5	5	5	5	5	5	5	5	2	5	3	5	5	5	5	4	5	1	26	2	6
2	3	4	5	5	5	5	5	5	2	1	5	1	1	4	5	5	4	4	1	22	1	6
2	4	2	5	5	5	5	5	5	4	3	5	4	4	5	5	5	4	5	1	20	2	6
2	5	5	5	5	5	5	5	5	2	2	5	2	2	5	5	5	5	5	1	21	3	6
4	5	5	5	5	5	5	5	5	5	4	5	3	5	5	5	5	4	5	1	19	2	7
2	5	3	5	5	5	5	5	5	5	3	5	5	3	5	5	5	3	5	1	24	2	7
1	5	5	3	3	5	5	5	5	2	1	5	3	3	5	5	5	4	5	1	28	2	7
3	4	5	5	5	5	5	5	5	5	2	5	4	2	3	5	5	2	4	1	29	2	9
2	4	5	5	5	5	5	5	5	4	2	5	2	3	5	5	5	3	4	1	25	2	9
2	4	3	5	5	5	5	5	5	4	2	5	2	2	5	5	5	5	5	1	22	2	9
3	5	3	5	5	5	5	5	5	4	3	5	5	5	5	5	5	5	5	1	24	2	9
2	4	5	5	5	5	5	5	5	3	2	5	5	5	5	5	5	4	5	1	19	2	9
2	4	4	5	3	5	5	5	5	3	2	5	2	3	3	5	5	2	4	1	20	2	9
2	4	4	5	4	5	5	5	5	4	2	5	3	4	5	5	5	4	5	1	20	2	9
3	5	4	5	5	5	5	5	5	4	4	5	5	4	5	5	5	5	5	1	24	2	9
2	3	4	2	3	5	5	4	5	5	2	5	2	2	5	5	3	4	5	1	20	2	9
2	5	5	5	5	5	5	5	5	5	2	5	1	1	2	5	5	4	5	1	20	2	9
1	5	3	5	5	5	5	5	5	3	1	5	2	2	4	5	5	5	5	1	22	2	9
3	4	5	5	5	5	5	5	5	4	3	5	4	4	5	5	5	4	5	1	19	2	9
2	5	4	5	5	5	5	5	5	3	2	5	2	4	5	5	5	4	5	1	22	2	9
2	5	4	5	5	5	5	5	5	3	4	5	5	5	5	5	5	5	5	1	25	2	9
2	4	4	5	5	5	5	5	5	3	2	5	5	3	5	5	4	3	3	1	20	2	9
2	4	4	4	3	5	5	5	5	2	2	5	4	4	5	5	5	5	5	1	20	2	9
4	5	5	5	5	5	5	5	5	4	4	5	2	3	4	5	5	4	4	1	20	2	9
2	5	4	5	5	5	5	5	3	3	2	4	3	3	5	5	5	5	5	1	20	2	9
3	5	5	5	5	5	5	5	5	4	2	5	4	5	4	5	5	4	5	1	21	2	9
2	4	4	5	4	5	5	5	5	3	2	5	5	5	5	5	5	3	5	1	19	2	9
2	3	4	3	5	5	3	5	5	2	2	4	2	3	4	4	4	2	4	1	23	2	9
2	4	4	5	5	5	5	5	5	3	3	5	4	3	4	5	5	4	5	1	20	2	9
3	5	4	5	5	5	5	5	5	4	3	5	5	5	5	5	5	4	5	1	23	2	9
1	5	5	5	3	5	5	5	5	2	1	5	5	5	5	5	5	4	5	1	21	2	9
1	4	4	5	5	5	5	5	5	3	1	5	3	3	5	5	5	5	5	1	20	1	9
1	5	4	5	5	5	5	5	5	3	2	5	1	2	4	5	5	3	5	1	22	3	9
2	4	4	5	5	5	5	5	5	3	2	5	2	4	5	5	5	2	4	1	21	2	9
1	5	3	5	5	5	5	5	5	3	3	5	5	5	5	5	5	3	5	1	20	2	9
3	5	5	5	5	5	5	5	5	5	3	5	5	3	5	5	5	4	5	1	19	1	9
4	4	4	4	5	5	5	5	5	5	3	2	5	3	5	5	5	4	5	1	20	2	9
4	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	1	21	2	9
4	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	4	5	1	20	2	9
3	4	4	5	5	5	5	5	5	3	2	5	2	3	5	5	4	5	5	1	19	1	9
3	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	19	2	9
3	4	4	5	5	5	5	5	5	5	3	5	5	5	5	5	5	4	5	1	20	2	9
3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	1	21	2	9
3	5	5	5	5	5	5	5	5	4	3	5	4	5	5	5	5	4	5	1	19	2	9
2	1	5	3	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	1	20	2	9
4	5	5	5	5	5	5	5	5	5	3	5	3	4	5	5	5	5	5	1	21	2	9
3	5	5	5	5	5	5	5	5	4	2	5	5	5	5	5	5	4	4	1	25	2	9
3	5	4	5	5	5	5	5	5	5	3	5	2	3	4	5	5	4	5	1	21	2	9
2	3	3	3	3	5	5	3	5	2	1	5	2	2	5	5	5	4	5	1	22	2	9
3	5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	1	23	2	9
1	5	5	4	5	5	5	5	5	3	1	5	3	2	5	5	5	4	5	1	28	2	9
2	4	5	5	5	5	3	3	5	2	2	5	1	1	5	5	5	5	5	1	21	2	9
2	4	4	4	4	4	4	4	4	4	1	4	5	5	5	5	5	4	5	1	19	2	9
1	5	5	5	5	5	5	5	5	3	1	5	5	1	5	5	5	3	5	1	22	2	9
2	4	5	3	5	5	5	5	5	4	2	5	4	3	5	5	5	4	4	1	26	2	9
2	3	3	5	5	5	5	5	5	3	2	5	3	3	5	5	5	3	4	1	26	2	9
3	5	5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	4	5	1	25	2	9
2	5	3	5	5	5	5	5	5	5	3	5	4	5	5	5	5	5	5	1	30	2	9
2	3	3	5	5	5	5	5	5	3	3	5	5	4	5	5	5	4	5	1	26	2	9
